iter	Passed	Remaining
400	16062	23994
401	16149	24024
402	16230	24043
403	16296	24041
404	16381	24067
405	16470	24097
406	16501	24042
407	16524	23976
408	16549	23913
409	16572	23847
410	16599	23788
411	16631	23735
412	16653	23670
413	16677	23605
414	16698	23539
415	16722	23475
416	16744	23410
417	16766	23344
418	16790	23282
419	16818	23225
420	16847	23170
421	16871	23107
422	16893	23044
423	16917	22981
424	16940	22919
425	16962	22856
426	16984	22791
427	17006	22728
428	17035	22674
429	17064	22619
430	17087	22558
431	17110	22497
432	17131	22433
433	17153	22371
434	17177	22310
435	17198	22248
436	17220	22186
437	17246	22129
438	17280	22082
439	17302	22020
440	17325	21960
441	17350	21904
442	17374	21845
443	17396	21785
444	17420	21726
445	17443	21667
446	17470	21612
447	17499	21562
448	17523	21504
449	17550	21450
450	17577	21397
451	17598	21336
452	17620	21277
453	17643	21218
454	17665	21160
455	17696	21111
456	17723	21058
457	17746	21000
458	17769	20944
459	17791	20885
460	17813	20827
461	17841	20776
462	17871	20727
463	17901	20679
464	17928	20627
465	17952	20572
466	17977	20518
467	18003	20465
468	18030	20414
469	18058	20363
470	18088	20316
471	18119	20269
472	18142	20213
473	18166	20159
474	18190	20105
475	18212	20049
476	18237	19996
477	18260	19941
478	18284	19888
479	18315	19841
480	18345	19795
481	18368	19740
482	18391	19686
483	18415	19632
484	18437	19578
485	18460	19524
486	18483	19470
487	18507	19417
488	18535	19368
489	18565	19323
490	18589	19270
491	18614	19219
492	18636	19166
493	18660	19113
494	18684	19061
495	18708	19010
496	18731	18958
497	18757	18908
498	18783	18858
499	18808	18808
500	18832	18756
501	18854	18704
502	18877	18651
503	18900	18600
504	18922	18548
505	18946	18497
506	18971	18447
507	19001	18402
508	19025	18353
509	19048	18301
510	19071	18250
511	19094	18199
512	19117	18148
513	19138	18095
514	19168	18051
515	19193	18002
516	19217	17953
517	19241	17904
518	19263	17853
519	19287	17803
520	19310	17753
521	19333	17704
522	19357	17654
523	19384	17608
524	19412	17563
525	19437	17515
526	19462	17467
527	19486	17419
528	19509	17370
529	19533	17321
530	19555	17272
531	19578	17223
532	19612	17184
533	19635	17134
534	19657	17085
535	19681	17037
536	19704	16988
537	19727	16940
538	19752	16894
539	19776	16847
540	19800	16799
541	19826	16754
542	19855	16711
543	19879	16663
544	19903	16616
545	19928	16570
546	19951	16523
547	19974	16475
548	19998	16428
549	20021	16380
550	20048	16337
551	20075	16292
552	20099	16246
553	20123	16200
554	20148	16155
555	20171	16108
556	20195	16062
557	20218	16015
558	20241	15968
559	20267	15924
560	20296	15882
561	20320	15836
562	20343	15790
